Drug ID,Drug Name,Generic Name,symptoms,dosageform,Neonates (0-28 days),Infants (1 month-1 year),toddlers (1-3 years),young children (3-12 years),Adolescents (12-18 years), Adults (18-60 years),Geriatrics (60+ years),Route of Administration,Side Effects,Contraindications,Warnings and Precautions,Manufacturer,Alternative 1,Alternative 2
1,Aspirin,Acetylsalicylic Acid,Headache,Tablet,Not recommended due to Reye’s syndrome risk,Not recommended due to Reye’s syndrome risk,Avoid unless prescribed,Avoid unless prescribed,325-650 mg every 4-6 hours (max 4 g/day),81-325 mg daily (as antiplatelet),81-325 mg daily (as antiplatelet),Oral,Stomach irritation,Allergy to NSAIDs,Gastric ulcers: risk of bleeding,PharmaCorp,Ibuprofen,Acetaminophen (Paracetamol)
2,Amoxicillin,Amoxicillin,Bacterial Infections,Capsule,20-30 mg/kg/day in divided doses every 12 hours,20-40 mg/kg/day divided every 8-12 hours,20-40 mg/kg/day divided every 8-12 hours,40-90 mg/kg/day divided every 8-12 hours,500-875 mg every 8-12 hours,500-875 mg every 8-12 hours,"Same as adult dose, adjust for kidney function",Oral,Nausea, Allergic reactions,Take with food to reduce stomach upset,MediPharm,Cephalexin,Azithromycin
3,Lisinopril,Lisinopril,Hypertension,Tablet,Not recommended,Not recommended,0.07 mg/kg once daily (max 5 mg/day),0.07 mg/kg once daily (max 5 mg/day),10-40 mg once daily,10-40 mg once daily,"Start at 5 mg/day, adjust based on renal function",Oral,Cough, Kidney problems,Monitor kidney function regularly,HealthMeds,Enalapril,Losartan
4,Albuterol,Albuterol,Asthma,Inhaler,Not commonly used,0.1-0.15 mg/kg via nebulizer every 4-6 hours,0.1-0.15 mg/kg via nebulizer every 4-6 hours,1.25-2.5 mg via nebulizer every 4-6 hours,2.5 mg via nebulizer or 90 mcg inhaler every 4-6 hours as needed,2.5 mg via nebulizer or 90 mcg inhaler every 4-6 hours as needed,Start with lowest effective dose,Inhalation,Tremor, Rapid heart rate,Use as needed for acute asthma symptoms,RespirePharma,Salmeterol,Formoterol
5,Omeprazole,Omeprazole,Acid Reflux,Capsule,0.7 mg/kg once daily,1 mg/kg once daily,10-20 mg once daily,10-20 mg once daily,20-40 mg once daily,20-40 mg once daily,20-40 mg once daily,Oral,Headache, Abdominal pain,Take before a meal,MediCare,Esomeprazole,Pantoprazole
6,Levothyroxine,Levothyroxine,Thyroid Disorder,Tablet,10-15 mcg/kg/day,4-6 mcg/kg/day,4-6 mcg/kg/day,4-6 mcg/kg/day,1.6 mcg/kg/day,25-200 mcg/day based on thyroid-stimulating hormone (TSH)  levels,25-200 mcg/day based on thyroid-stimulating hormone (TSH)  levels,Oral,Dizziness, Heart palpitations,Take on an empty stomach,EndoHealth,Liothyronine,Natural Desiccated Thyroid (Armour Thyroid)
7,Simvastatin,Simvastatin,Hyperlipidemia,Tablet,Not recommended,Not recommended,Not recommended,10 mg once daily,10-40 mg once daily,10-40 mg once daily,"Start at lower dose, monitor liver function",Oral,Muscle pain, Liver problems,Avoid grapefruit juice,PharmaCare,Rosuvastatin,Atorvastatin
8,Metformin,Metformin,Type 2 Diabetes,Tablet,Not recommended,Not recommended,Not recommended,"500 mg once daily, increase to 2000 mg/day max",500-2000 mg/day in divided doses,500-2000 mg/day in divided doses,"Caution in renal impairment, max dose based on kidney function",Oral,Diarrhea, Lactic acidosis,Take with meals,DiabetesRx,Sitagliptin,Pioglitazone
9,Ibuprofen,Ibuprofen,Pain and Inflammation,Tablet,Avoid unless prescribed,5-10 mg/kg every 6-8 hours,10 mg/kg every 6-8 hours (max 40 mg/kg/day),10 mg/kg every 6-8 hours (max 40 mg/kg/day),200-800 mg every 6-8 hours (max 3200 mg/day),200-800 mg every 6-8 hours (max 3200 mg/day),"Use lower dose, monitor kidney function",Oral,Upset stomach, GI bleeding,Anticoagulants: increased bleeding risk,ReliefMeds,Acetaminophen (Paracetamol),Naproxen
10,Ciprofloxacin,Ciprofloxacin,Bacterial Infections,Tablet,Not recommended,Not recommended,Use only if necessary (10-20 mg/kg/day),Use only if necessary (10-20 mg/kg/day),250-750 mg every 12 hours,250-750 mg every 12 hours,Adjust for renal function,Oral,Nausea, Tendon rupture,Take 2 hours before or 6 hours after antacids,PharmaX,Levofloxacin,Azithromycin
11,Alprazolam,Alprazolam,Anxiety,Tablet,Not recommended,Not recommended,Not commonly used,Not commonly used,Not commonly used,0.25-0.5 mg three times daily (max 4 mg/day),"Start at 0.25 mg twice daily, increase cautiously",Oral,Drowsiness, Addiction history,Avoid alcohol,NeuroPharm,Lorazepam,Clonazepam
12,Ranitidine,Ranitidine,Gastric Ulcers,Tablet,1-2 mg/kg every 8-12 hours,2-4 mg/kg twice daily,2-4 mg/kg twice daily,2-4 mg/kg twice daily,150 mg twice daily or 300 mg once daily,150 mg twice daily or 300 mg once daily,Adjust for kidney function,Oral,Headache, Constipation,Long-term use: increased risk of fractures,MediCure,Famotidine,Esomeprazole
13,Atorvastatin,Atorvastatin,Hyperlipidemia,Tablet,Not recommended,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,10-80 mg once daily,"Start at lower dose, monitor liver function",Oral,Muscle pain, Liver problems,Avoid grapefruit juice,PharmaWell,Rosuvastatin,Ezetimibe
14,Cephalexin,Cephalexin,Bacterial Infections,Capsule,25-50 mg/kg/day in divided doses,75-100 mg/kg/day divided every 6-8 hours,75-100 mg/kg/day divided every 6-8 hours,500 mg every 6-12 hours,500 mg every 6-12 hours,250-1000 mg every 6-12 hours,250-1000 mg every 6-12 hours,Oral,Upset stomach, Allergic reactions,Probenecid: decreased excretion,HealthCure,Amoxicillin,Cefuroxime
15,Paracetamol,Paracetamol,Pain and Fever,Tablet,10-15 mg/kg every 6-8 hours (max 60 mg/kg/day),10-15 mg/kg every 4-6 hours (max 75 mg/kg/day),10-15 mg/kg every 4-6 hours (max 75 mg/kg/day),10-15 mg/kg every 4-6 hours (max 75 mg/kg/day),325-1000 mg every 4-6 hours (max 4 g/day),325-1000 mg every 4-6 hours (max 4 g/day),Use lower dose in liver impairment,Oral,None at normal doses, Liver damage,"Do not exceed recommended dose, after food",ReliefPharm,Ibuprofen,Naproxen
16,Morphine,Morphine,Severe Pain,Tablet,0.03-0.1 mg/kg every 3-4 hours,0.05-0.2 mg/kg every 4-6 hours,0.05-0.2 mg/kg every 4-6 hours,0.1-0.2 mg/kg every 4-6 hours,2.5-15 mg every 4 hours as needed,2.5-15 mg every 4 hours as needed,"Start with lowest effective dose, adjust based on response",Oral,Respiratory depression, Constipation,May cause drowsiness,PainRelief,Oxycodone,Fentanyl
17,Risperidone,Risperidone,Schizophrenia,Tablet,Not recommended,Not recommended,Not recommended,"0.25-0.5 mg once daily, max 3 mg/day",0.5-6 mg/day in divided doses,0.5-6 mg/day in divided doses,"Start at 0.5 mg/day, titrate slowly",Oral,Weight gain, Tardive dyskinesia,May impair judgment,MentalWellness,Aripiprazole,Quetiapine
18,Sildenafil,Sildenafil,Erectile Dysfunction,Tablet,Used for pulmonary hypertension (specialist dose),Used for pulmonary hypertension (specialist dose),20 mg three times daily,20 mg three times daily,20 mg three times daily,"25-100 mg as needed, max once daily","Start at 25 mg, adjust based on response",Oral,Headache, Flushing,Do not take with grapefruit juice,PharmErect,Tadalafil,Vardenafil
19,Furosemide,Furosemide,Edema,Tablet,0.5-1 mg/kg every 12-24 hours,1 mg/kg every 6-12 hours,1 mg/kg every 6-12 hours,1-2 mg/kg every 6-12 hours,20-80 mg once daily or in divided doses,20-80 mg once daily or in divided doses,"Start with lowest effective dose, adjust based on response",Oral,Dehydration, Electrolyte imbalances,Take in the morning,DiureticCare,Bumetanide,Torsemide
20,Esomeprazole,Esomeprazole,Acid Reflux,Capsule,0.5-1 mg/kg once daily,1 mg/kg once daily,10-20 mg once daily,10-20 mg once daily,20-40 mg once daily,20-40 mg once daily,"Start with lowest effective dose, adjust based on response",Oral,Headache, Nausea,Take before breakfast,MediDigest,Omeprazole,Pantoprazole
21,Warfarin,Warfarin,Thrombosis,Tablet,Not recommended,Not recommended,"0.2 mg/kg/day, adjust based on INR levels","0.2 mg/kg/day, adjust based on INR levels","2-10 mg once daily, adjust based on INR","2-10 mg once daily, adjust based on INR","Start at lower dose, monitor INR closely",Oral,Bleeding, Skin necrosis,Do not change diet drastically,ClotCare,Apixaban,Rivaroxaban
22,Tramadol,Tramadol,Moderate to Severe Pain,Tablet,Not recommended,Not recommended,Not recommended,1-2 mg/kg every 4-6 hours (max 400 mg/day),50-100 mg every 4-6 hours (max 400 mg/day),50-100 mg every 4-6 hours (max 400 mg/day),"Start at lower dose, max 300 mg/day",Oral,Constipation, Dizziness,May cause drowsiness,PainEase,Oxycodone,Hydrocodone
23,Fluoxetine,Fluoxetine,Depression,Capsule,Not recommended,Not recommended,"10 mg once daily, max 20 mg/day","10 mg once daily, max 20 mg/day","10-20 mg once daily, max 80 mg/day","10-20 mg once daily, max 80 mg/day","Start at lower dose, monitor closely",Oral,Nausea, Insomnia,Avoid alcohol,EmotionCare,Sertraline,Escitalopram
24,Levofloxacin,Levofloxacin,Bacterial Infections,Tablet,Not recommended,Not recommended,10 mg/kg every 12 hours,10 mg/kg every 12 hours,250-750 mg once daily,250-750 mg once daily,Adjust based on renal function,Oral,Nausea, Tendon rupture,Take 2 hours before or 6 hours after antacids,MediSafe,Ciprofloxacin,Moxifloxacin
25,Lorazepam,Lorazepam,Anxiety,Tablet,Not recommended,Not recommended,Not recommended,0.05 mg/kg every 6-8 hours,0.5-2 mg every 6-8 hours,0.5-2 mg every 6-8 hours,"Start at 0.25 mg, adjust based on response",Oral,Drowsiness, Addiction history,Avoid alcohol,RelaxWell,Diazepam,Clonazepam
26,Losartan,Losartan,Hypertension,Tablet,Not recommended,0.07 mg/kg once daily (max 25 mg/day),0.07 mg/kg once daily (max 25 mg/day),0.07–0.1 mg/kg once daily (max 50 mg/day),25–50 mg once daily,50–100 mg once daily,Start at 25 mg once daily,Oral,Cough, Low blood pressure,Take with or without food,CardioPharm,Valsartan,Irbesartan
27,Amphetamine,Amphetamine,Attention Deficit Hyperactivity Disorder,Tablet,Not recommended,Not recommended,Not recommended,"2.5–5 mg once daily, max 40 mg/day","5–10 mg once daily, max 60 mg/day","5–10 mg once daily, max 60 mg/day","Start at 5 mg once daily, max 40 mg/day",Oral,Insomnia, Increased heart rate,May impair judgment,FocusMeds,Methylphenidate,Lisdexamfetamine
28,Citalopram,Citalopram,Depression,Tablet,Not recommended,Not recommended,Not recommended,10 mg/day,10–20 mg/day,20–40 mg/day,Start at 10 mg/day,Oral,Nausea, Insomnia,Avoid alcohol,EmotionEase,Escitalopram,Sertraline
29,Metoprolol,Metoprolol,Hypertension,Tablet,Not recommended,Not recommended,0.2–1 mg/kg/day divided BID,0.5–1 mg/kg/day divided BID,25–50 mg BID,50–200 mg/day (divided doses),Start lower dose (12.5–25 mg BID),Oral,Low heart rate, Low blood pressure,Do not stop abruptly,HeartCare,Atenolol,Carvedilol
30,Venlafaxine,Venlafaxine,Depression,Capsule,Not recommended,Not recommended,Not recommended,Not recommended,30–60 mg/day,30–120 mg/day,Start at 30 mg/day,Oral,Nausea, Insomnia,Avoid alcohol,MoodEase,Duloxetine,Desvenlafaxine
31,Methylphenidate,Methylphenidate,Attention Deficit Hyperactivity Disorder,Tablet,Not recommended,Not recommended,Not recommended,"2.5–5 mg twice daily, max 60 mg/day","5–10 mg twice daily, max 60 mg/day","5–10 mg twice daily, max 60 mg/day","Start at 5 mg once daily, max 40 mg/day",Oral,Insomnia, Increased heart rate,May impair judgment,FocusMeds,Amphetamine,Lisdexamfetamine
32,Rosuvastatin,Rosuvastatin,Hyperlipidemia,Tablet,Not recommended,Not recommended,Not recommended,5 mg once daily,5–20 mg once daily,5–40 mg once daily,5 mg once daily,Oral,Muscle pain, Liver problems,Avoid grapefruit juice,PharmaCare,Atorvastatin,Simvastatin
33,Bupropion,Bupropion,Depression,Tablet,Not recommended,Not recommended,Not recommended,Not recommended,75–150 mg BID,150–300 mg/day,Start at 75 mg/day,Oral,Insomnia, Weight loss,May cause agitation,WellnessMeds,Wellbutrin (Brand of Bupropion),Varenicline (For Smoking Cessation Alternative)
34,Ceftriaxone,Ceftriaxone,Bacterial Infections,Injection,20–50 mg/kg/day,20–50 mg/kg/day,20–50 mg/kg/day,50–100 mg/kg/day,1–2 g/day,1–2 g/day,1–2 g/day,Intravenous/Intramuscular,Injection site reactions, Diarrhea,Calcium-containing solutions: precipitates,MediCure,Cefuroxime,Azithromycin
35,Fentanyl,Fentanyl,Severe Pain,Transdermal Patch,0.5–1 mcg/kg IV every 2–4 hrs,0.5–1 mcg/kg IV every 2–4 hrs,2 mcg/kg IV every 2–4 hrs,2 mcg/kg IV every 2–4 hrs,12.5–25 mcg patch every 72 hrs,25–100 mcg patch every 72 hrs,12.5–25 mcg patch every 72 hrs,Transdermal,Respiratory depression, Constipation,Do not use for mild pain,PainRelief,Morphine,Hydromorphone
36,Hydrochlorothiazide,Hydrochlorothiazide,Hypertension,Tablet,Not recommended,Not recommended,0.5–1 mg/kg once daily (max 12.5 mg/day),0.5–2 mg/kg once daily (max 25 mg/day),12.5–25 mg once daily,12.5–50 mg once daily,Start at 12.5 mg once daily,Oral,Dehydration, Electrolyte imbalances,Take with food or milk,DiureticCare,Chlorthalidone,Furosemide
37,Escitalopram,Escitalopram,Depression,Capsule,Not recommended,Not recommended,Not recommended,"5 mg once daily, max 10 mg/day","10 mg once daily, max 20 mg/day",10–20 mg once daily,Start at 5–10 mg once daily,Oral,Nausea, Insomnia,Avoid alcohol,EmotionEase,Citalopram,Sertraline
38,Amlodipine,Amlodipine,Hypertension,Tablet,Not recommended,0.1–0.3 mg/kg once daily (max 5 mg/day),0.1–0.6 mg/kg once daily (max 5 mg/day),2.5–5 mg once daily,2.5–10 mg once daily,5–10 mg once daily,Start at 2.5 mg once daily,Oral,Swelling of legs and ankles, Flushing,Take at the same time each day,HeartCare,Nifedipine,Verapamil
39,Mirtazapine,Mirtazapine,Depression,Tablet,Not recommended,Not recommended,Not recommended,"7.5 mg once daily, max 30 mg/day","15 mg once daily, max 45 mg/day",15–45 mg once daily,Start at 7.5–15 mg once daily,Oral,Drowsiness, Increased appetite,Avoid alcohol,MoodEase,Trazodone,Bupropion
40,Trazodone,Trazodone,Depression,Tablet,Not recommended,Not recommended,Not recommended,25–50 mg once daily,50–100 mg once daily,50–200 mg once daily,Start at 25–50 mg once daily,Oral,Drowsiness, Dry mouth,Avoid alcohol,EmotionMeds,Mirtazapine,Amitriptyline
41,Pravastatin,Pravastatin,Hyperlipidemia,Tablet,Not recommended,Not recommended,Not recommended,10 mg once daily,10–40 mg once daily,10–40 mg once daily,"10 mg once daily, monitor liver function",Oral,Muscle pain, Liver problems,Avoid grapefruit juice,PharmaWell,Atorvastatin,Rosuvastatin
42,Aripiprazole,Aripiprazole,Schizophrenia,Tablet,Not recommended,Not recommended,Not recommended,"2–5 mg once daily, max 15 mg/day","5–10 mg once daily, max 30 mg/day",10–30 mg once daily,Start at 2–5 mg once daily,Oral,Weight gain, Movement disorders,May cause drowsiness,MentalHealth,Risperidone,Olanzapine
43,Amoxicillin-Clavulanate,Amoxicillin-Clavulanate,Bacterial Infections,Tablet,20–40 mg/kg/day divided every 8–12 hrs,20–40 mg/kg/day divided every 8–12 hrs,20–40 mg/kg/day divided every 8–12 hrs,20–40 mg/kg/day divided every 8–12 hrs,500–875 mg every 8–12 hrs,500–875 mg every 8–12 hrs,500 mg every 12 hrs,Oral,Diarrhea, Allergic reactions,Probenecid: increased blood levels,MediPharm,Cephalexin,Cefuroxime
44,Lithium,Lithium,Bipolar Disorder,Capsule,Not recommended,Not recommended,Not recommended,"300–600 mg twice daily, max 1800 mg/day","300–600 mg twice daily, max 1800 mg/day","300–600 mg twice daily, max 1800 mg/day",Start at 150–300 mg twice daily,Oral,Frequent urination, Tremor,Do not change salt intake drastically,WellnessRx,Valproate,Lamotrigine
45,Pregabalin,Pregabalin,Neuropathic Pain,Capsule,Not recommended,Not recommended,Not recommended,25–50 mg twice daily,"50–75 mg twice daily, max 300 mg/day","75–150 mg twice daily, max 600 mg/day",Start at 25–50 mg twice daily,Oral,Dizziness, Drowsiness,May cause weight gain,NerveCare,Gabapentin,Duloxetine
46,Isosorbide Mononitrate,Isosorbide Mononitrate,Angina,Tablet,Not recommended,Not recommended,Not recommended,Not recommended,"30–60 mg once daily, max 120 mg/day","30–60 mg once daily, max 120 mg/day",Start at 30 mg once daily,Oral,Headache, Flushing,Avoid alcohol,HeartEase,Nitroglycerin,Ranolazine
47,Ezetimibe,Ezetimibe,Hyperlipidemia,Tablet,Not recommended,Not recommended,Not recommended,10 mg once daily,10 mg once daily,10 mg once daily,Start at 10 mg once daily,Oral,Stomach pain, Diarrhea,Take at the same time each day,PharmaCare,Atorvastatin,Simvastatin
48,Enalapril,Enalapril,Hypertension,Tablet,Not recommended,"0.08 mg/kg once daily, max 5 mg/day","0.08 mg/kg once daily, max 5 mg/day",2.5–5 mg once daily,5–10 mg once daily,5–40 mg once daily,Start at 2.5–5 mg once daily,Oral,Cough, Low blood pressure,Take on an empty stomach,CardioPharm,Lisinopril,Losartan
49,Diazepam,Diazepam,Anxiety,Tablet,Not recommended,0.5–1 mg/kg/day divided twice daily,0.5–1 mg/kg/day divided twice daily,"1–2 mg twice daily, max 10 mg/day","2–5 mg twice daily, max 20 mg/day","2–10 mg twice daily, max 40 mg/day",Start at 2–5 mg twice daily,Oral,Drowsiness, Addiction history,Avoid alcohol,NeuroWell,Lorazepam,Clonazepam
50,Methotrexate,Methotrexate,Rheumatoid Arthritis,Tablet,Not recommended,Not recommended,0.3–0.5 mg/kg once weekly,0.3–0.5 mg/kg once weekly,7.5–20 mg once weekly,7.5–25 mg once weekly,Start at 5–7.5 mg once weekly,Oral,Nausea, Fatigue,Take with a full glass of water,MediRheum,Leflunomide,Sulfasalazine
51,Cetirizine,Cetirizine,Allergies,Tablet,Not recommended,2.5 mg once daily,2.5–5 mg once daily,5–10 mg once daily,10 mg once daily,10 mg once daily,Start at 5 mg once daily,Oral,Drowsiness, Dry mouth,May cause drowsiness,ReliefAllergy,Loratadine,Fexofenadine
52,Bromocriptine,Bromocriptine,Parkinson's Disease,Tablet,Not recommended,Not recommended,Not recommended,1.25–2.5 mg once daily,,2.5–15 mg once daily,Start at 1.25 mg once daily,Oral,Nausea, Hallucinations,Take with meals,NeuroCare,Cabergoline,Pergolide
53,Ethinyl Estradiol / Levonorgestrel,Ethinyl Estradiol / Levonorgestrel,Contraception,Pill,Not recommended,Not recommended,Not recommended,Not recommended,Varies by formulation (0.02–0.03 mg EE / 0.1–0.15 mg LNG once daily),Varies by formulation,Not recommended,Oral,Nausea, Weight gain,Take at the same time each day,Women'sHealth,Drospirenone / Ethinyl Estradiol,Norethindrone / Ethinyl Estradiol
54,Gabapentin,Gabapentin,Epilepsy,Capsule,Not recommended,Not recommended,10–15 mg/kg/day divided 2–3 times,10–15 mg/kg/day divided 2–3 times,"300 mg 2–3 times daily, max 1800 mg/day","300 mg 2–3 times daily, max 1800 mg/day",Start at 100–300 mg once daily,Oral,Dizziness, Drowsiness,May cause weight gain,NerveEase,Pregabalin,Topiramate
55,Naproxen,Naproxen,Pain and Inflammation,Tablet,Not recommended,5 mg/kg/dose twice daily,5 mg/kg/dose twice daily,10 mg/kg/dose twice daily,250–500 mg twice daily,250–500 mg twice daily,Start at 250 mg twice daily,Oral,Stomach irritation, GI bleeding,Anticoagulants: increased bleeding risk,PainRelief,Ibuprofen,Celecoxib
56,Carvedilol,Carvedilol,Hypertension,Tablet,Not recommended,Not recommended,0.05 mg/kg twice daily,0.1–0.2 mg/kg twice daily,3.125–6.25 mg twice daily,6.25–25 mg twice daily,Start at 3.125 mg twice daily,Oral,Low heart rate, Low blood pressure,Do not stop abruptly,CardioPharm,Metoprolol,Labetalol
57,Clopidogrel,Clopidogrel,Cardiovascular Disease,Tablet,Not recommended,Not recommended,Not recommended,0.2 mg/kg once daily,75 mg once daily,75 mg once daily,Start at 75 mg once daily,Oral,Dizziness, Bleeding risk,Take with or without food,HeartWell,Ticagrelor,Prasugrel
58,Ezetimibe / Simvastatin,Ezetimibe / Simvastatin,Hyperlipidemia,Tablet,Not recommended,Not recommended,Not recommended,Not recommended,10 mg / 10–40 mg once daily,10 mg / 10–40 mg once daily,Start at 10 mg / 10 mg once daily,Oral,Muscle pain, Liver problems,Take in the evening,PharmaCare,Atorvastatin / Ezetimibe,Rosuvastatin / Ezetimibe
59,Fluticasone Propionate,Fluticasone Propionate,Asthma,Inhaler,Not recommended,50 mcg twice daily (nasal),50 mcg twice daily (nasal),50–100 mcg twice daily,100–250 mcg twice daily,100–250 mcg twice daily,Start at 50–100 mcg once daily,Inhalation,Hoarseness, Oral candidiasis,Use regularly for best results,RespireWell,Budesonide,Beclomethasone
60,Metronidazole,Metronidazole,Bacterial Infections,Tablet,7.5 mg/kg every 12 hrs,7.5 mg/kg every 12 hrs,7.5 mg/kg every 12 hrs,7.5 mg/kg every 12 hrs,500 mg every 8 hrs,500 mg every 8 hrs,Start at 250 mg every 8 hrs,Oral,Nausea, Metallic taste,Finish the full course of treatment,MediPharm,Clindamycin,Tinidazole
61,Duloxetine,Duloxetine,Depression,Capsule,Not recommended,Not recommended,Not recommended,"30 mg once daily, max 60 mg/day",30–60 mg once daily,30–60 mg once daily,Start at 30 mg once daily,Oral,Nausea, Insomnia,Avoid alcohol,EmotionEase,Venlafaxine,Escitalopram
62,Chlorthalidone,Chlorthalidone,Hypertension,Tablet,Not recommended,Not recommended,Not recommended,0.3 mg/kg once daily,12.5–25 mg once daily,12.5–25 mg once daily,Start at 12.5 mg once daily,Oral,Dehydration, Electrolyte imbalances,Take with food or milk,DiureticCare,Hydrochlorothiazide,Indapamide
63,Cefuroxime,Cefuroxime,Bacterial Infections,Tablet,20–30 mg/kg/day divided every 12 hrs,20–30 mg/kg/day divided every 12 hrs,20–30 mg/kg/day divided every 12 hrs,20–30 mg/kg/day divided every 12 hrs,250–500 mg every 12 hrs,250–500 mg every 12 hrs,Start at 250 mg every 12 hrs,Oral,Upset stomach, Allergic reactions,Probenecid: increased blood levels,HealthCure,Cefpodoxime,Cefdinir
64,Alendronate,Alendronate,Osteoporosis,Tablet,Not recommended,Not recommended,Not recommended,5 mg once daily,5–10 mg once daily,5–10 mg once daily,Start at 5 mg once daily,Oral,Stomach irritation, Difficulty swallowing,Take on an empty stomach,BoneHealth,Risedronate,Ibandronate
65,Ranitidine,Ranitidine,Gastric Ulcers,Tablet,2 mg/kg/dose twice daily,2 mg/kg/dose twice daily,2–4 mg/kg/dose twice daily,75–150 mg twice daily,150 mg twice daily,150 mg twice daily,Start at 75 mg twice daily,Oral,Headache, Constipation,Long-term use: increased risk of fractures,MediCure,Famotidine,Omeprazole
66,Levetiracetam,Levetiracetam,Epilepsy,Tablet,Not recommended,10 mg/kg twice daily,10 mg/kg twice daily,10 mg/kg twice daily,"500 mg twice daily, max 3000 mg/day",500–1500 mg twice daily,Start at 250–500 mg twice daily,Oral,Dizziness, Fatigue,May cause behavioral changes,NeuroCare,Lamotrigine,Valproate
